year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2017,1,UA,United Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",5168,1103,415.76,78.91,282.88,0,325.46,191,1,70307,24871,6766,10326,0,28344
2017,1,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",3500,800,285.45,55.07,209.91,0,249.57,115,0,49933,18499,3712,7836,0,19886
2017,1,UA,United Air Lines Inc.,LAS,"Las Vegas, NV: McCarran International",996,208,84.92,18.36,42.92,0,61.8,27,1,13196,4536,1512,1490,0,5658
2017,1,UA,United Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",4018,984,341.13,81.1,313.67,0,248.1,140,4,61135,21426,6281,12707,0,20721
2017,1,UA,United Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4303,1112,289.46,58.43,509.64,0,254.46,361,2,72040,18914,5532,24701,0,22893
2017,1,UA,United Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",189,52,24.61,3.88,12.84,0,10.67,8,0,2513,913,233,429,0,938
2017,1,UA,United Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2522,583,254.16,51.19,123.95,0,153.71,77,2,37347,14581,4111,4967,0,13688
2017,1,UA,United Air Lines Inc.,MIA,"Miami, FL: Miami International",345,102,43.24,9.98,33.81,0,14.97,9,1,6160,2710,738,1501,0,1211
2017,1,UA,United Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",505,131,54.57,13.03,23.88,0,39.52,17,0,7941,3061,1054,1052,0,2774
2017,1,UA,United Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",410,88,31.17,3,35.84,0,17.99,22,4,6021,1622,855,1909,0,1635
2017,1,UA,United Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",27,7,3.48,0.96,0.31,0,2.26,3,0,703,307,65,44,0,287
2017,1,UA,United Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",31,14,5.79,1.46,0.9,0,5.85,5,0,937,301,193,53,0,390
