id,State,AP_1979–1981,AP_1989–1991,AP_2009–2011,AP_2010–2012,AP_2011–2013,AP_2012–2014,AP_2013–2015,AP_2014–2016,W_2009–2011,W_2010–2012,W_2011–2013,W_2012–2014,W_2013–2015,W_2014–2016,BAA_2009–2011,BAA_2010–2012,BAA_2011–2013,BAA_2012–2014,BAA_2013–2015,BAA_2014–2016,AIA_2009–2011,AIA_2010–2012,AIA_2011–2013,AIA_2012–2014,AIA_2013–2015,AIA_2014–2016,API_2009–2011,API_2010–2012,API_2011–2013,API_2012–2014,API_2013–2015,API_2014–2016,HL_2009–2011,HL_2010–2012,HL_2011–2013,HL_2012–2014,HL_2013–2015,HL_2014–2016,WHL_2009–2011,WHL_2010–2012,WHL_2011–2013,WHL_2012–2014,WHL_2013–2015,WHL_2014–2016,BHL_2009–2011,BHL_2010–2012,BHL_2011–2013,BHL_2012–2014,BHL_2013–2015,BHL_2014–2016
AL,Alabama,1091.2,1037.9,937.8,933.2,928.4,920.2,919.5,918,913.7,913.4,910.6,905.9,906.1,905.6,1045.7,1025.9,1016.5,998.2,994.8,986.7,315.3,332.5,325.7,332.2,326.9,310.3,411.2,349.5,296.6,253,219.6,281.3,366,343.1,346.7,336.2,346.2,323,920.5,921.2,919,914.4,914.8,915.5,1050,1031,1021.4,1002.9,998.8,991.2
AK,Alaska,1087.4,944.6,760.8,749.3,734,730.5,736.2,743.3,709,699.3,682.6,678.5,680.9,684.9,675.1,692.2,664.9,651.2,657.1,631.3,1162.6,1133.8,1129.2,1138.2,1169.7,1196.2,475.9,476.7,486.6,486.1,479.3,494.8,454.8,457.6,385.6,352.1,356.7,387.5,714.2,704.9,690.6,688.3,690.3,692.9,689.7,714.6,692,689.5,693.9,663.7
AZ,Arizona,951.5,873.5,691.9,688.1,681.8,672.6,669.2,669.9,685.8,682.4,676.8,667.4,663.9,663.4,785.2,783.7,783.7,769.5,763.4,767.6,867.9,848.5,828.6,837.6,843.4,856,413.1,410.7,394.8,382.2,376,387,616.4,607.7,604.6,598.5,590.1,587.6,694.9,692.3,686.4,675.2,672.1,670.5,824,821.8,823.9,803.2,794.8,795.1
AR,Arkansas,1017,996.3,894.9,895.2,895.6,891.6,893.1,892.9,877.1,881.3,883.4,881.8,885,884.9,1059.1,1036.7,1026.9,1005.4,992.6,995.1,364.2,311.9,288.7,235.2,250.2,275.5,554.7,508.5,507.3,508.4,519.6,494.6,386.8,367.6,354.7,318.3,303.2,297.1,888.7,893.5,893.3,891.2,894.6,897.6,1061.8,1038.9,1026.9,1003.9,988.9,991.4
CA,California,975.5,911,647.7,639.3,633.8,621.8,619.1,614.8,674.3,667.1,663.4,652.8,651.4,647.9,853.2,833.5,825.8,808.4,807.6,806.9,363.2,366.2,371.7,371,380.2,379,422.6,416.4,408.8,398.1,394.5,391.4,540.5,532.2,527.9,517.2,514.4,511,704.5,698.9,696.3,686.6,686.4,683.5,896.5,877.8,871,853.5,853.6,854
CO,Colorado,941.1,856.1,683.3,675.1,666,661.8,661.7,666.3,687.7,679.4,670.7,667,667.6,672.5,785.5,786.7,765.2,745.6,741.6,735,450.5,448,449.7,468.5,462.4,489.3,404.7,403.8,404.8,392.8,389,395.9,671.8,658.8,657.1,655,652.5,657.6,682.5,675.4,665.6,662.5,663.1,668.2,816.4,817.7,795.6,776.4,772.8,766.6
CT,Connecticut,961.5,857.5,657.6,653.8,651.7,647,649.6,652.2,656.8,654.6,654.1,651,655.2,657.9,725.3,704.1,691.6,681.5,683.2,690.6,213.2,229.9,210.1,214.2,194.9,167.2,357.9,356.9,334,325,311.7,320.5,532.3,522.2,511.2,517.2,519.8,518.6,656.5,654.8,655.4,652.2,657,660.1,763.6,743.3,733.4,721.9,724.7,733.5
DE,Delaware,1069.7,1001.9,767.3,759.6,745,735.4,734.2,740.6,761.4,752.3,740.6,727.8,733.2,740,845.6,846.8,813.3,816.7,790.5,804.3,0,0,0,0,0,0,288.3,330.2,338.2,374.4,329.3,308.9,446.9,405.8,415.5,405.5,403.9,435.1,764.2,758.5,746.7,734.2,739.9,747.3,848,852,820.9,825.2,799.3,814.3
DC,District of Columbia,1243.1,1255.3,793.4,768.2,755.1,751,748.1,753,495.9,483.5,468.1,467.3,463.6,448.5,1010.3,978.1,967.9,966.1,969.7,994.6,0,0,0,0,0,0,340.2,337.6,365.3,319,345.4,338.2,396.3,379.4,378.9,385.2,362.8,374.9,492.7,481.2,462.8,459,458.7,440.2,1011.9,982,970.6,966.2,971.4,997.4
FL,Florida,960.8,870.9,692.5,682.3,670,665,662.7,663.8,684.1,675.3,663.7,659.4,657.8,659.9,798.3,776.6,758.7,748.7,741.2,738.2,300.7,290.8,277.6,283.7,285.2,291.5,347,329,316.3,324.6,331.9,331.3,540.7,533.7,520.1,513.6,507.4,509.8,715.7,707.2,696.8,694,694.7,699.3,828.3,806.2,787.7,776,767.5,764.5
