Cities,Latitude,Longitude
Boston,42.370567,-71.026964
Los Angeles,33.973951,-118.248405
Kahului,20.883783,-156.462641
Dallas/Fort Worth,32.745629,-97.316375
Oklahoma City,35.491608,-97.562817
San Francisco,37.784827,-122.727802
Chicago,41.850033,-87.650052
Newark,40.736101,-74.22509
Miami,25.728662,-80.239996
Houston,29.813142,-95.309789
Orlando,28.545179,-81.373291
New York,40.714269,-74.005973
Santa Ana,33.74822,-117.858473
Las Vegas,36.301068,-115.206969
San Diego,32.724103,-117.170912
Memphis,35.169255,-89.990415
Atlanta,33.844371,-84.47405
Denver,39.744773,-105.115977
Tucson,32.217975,-110.970869
Salt Lake City,40.756095,-111.900719
Portland,45.507856,-122.690794
Charlotte,35.26002,-80.804151
San Jose,37.189396,-121.705327
Tampa,27.996097,-82.582035
Colorado Springs,38.861469,-104.857828
Austin,30.326374,-97.771258
Lihue,21.97583,-159.35479
Washington,38.895112,-77.036366
Raleigh/Durham,35.908705,-79.027082
Norfolk,36.895911,-76.208521
Seattle,47.60621,-122.332071
Detroit,42.347021,-83.060184
Minneapolis,45.050884,-93.253812
Kona,21.461446,-158.062844
Indianapolis,39.775092,-86.13216
Kansas City,39.102404,-94.598583
San Antonio,29.468413,-98.528889
El Paso,31.763608,-106.484592
Philadelphia,40.001811,-75.11787
Ontario,34.063344,-117.650888
Fort Lauderdale,26.121323,-80.127909
Tulsa,36.153982,-95.992775
Fort Myers,26.621074,-81.878139
Eagle,39.607401,-106.805111
Nashville,36.165688,-86.778098
Albuquerque,35.084491,-106.651137
Baltimore,39.208888,-76.562926
New Orleans,30.068812,-89.930956
Columbus,40.100924,-83.013402
Sacramento,38.380456,-121.555406
Cleveland,41.489381,-81.667486
Reno,39.525749,-119.813051
Hartford,41.78516,-72.763564
Fresno,36.862603,-119.734947
Des Moines,41.672687,-93.572173
Louisville,38.188962,-85.676819
Pittsburgh,40.47441,-79.950968
Milwaukee,43.011264,-87.958409
West Palm Beach/Palm Beach,26.783645,-80.037967
Omaha,41.291736,-96.171104
Dayton,39.764189,-84.076154
Richmond,37.586772,-77.574165
Palm Springs,33.830296,-116.545292
Anchorage,61.220018,-149.855702
Buffalo,42.89606,-78.886424
Mission/McAllen/Edinburg,26.268487,-98.649678
Syracuse,43.02143,-76.197701
Spokane,47.66264,-117.435997
Providence,41.82275,-71.414451
Boise,43.6135,-116.203451
Albany,42.614852,-73.970812
Wilmington,34.271985,-77.963628
Oakland,37.786027,-122.223779
Rochester,43.286024,-77.684264
Portland,43.658784,-70.262393
Charleston,32.780326,-79.940844
Burbank,34.200993,-118.292773
