Year,Endeavor Air,American,Alaska,JetBlue,Delta,ExpressJet,Frontier,Allegiant,Hawaiian,Envoy Air,Spirit,US Airways,SkyWest,United,Southwest,Mesa,Midwest
Aberdeen,0,0,0,0,0,0,0,0,0,0,0,0,11.21311475,0,0,0,0
Abilene,0,0,0,0,0,0,0,0,0,9.827586207,0,0,0,0,0,0,0
Adak Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguadilla,0,0,0,15.6446281,0,0,0,0,0,0,24.9,0,0,31.61290323,0,0,0
Akron,0,0,0,0,2.579545455,40.3220339,0,0,0,0,46.13043478,17.69811321,14.37579618,0,0,0,0
Albany,27.15116279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albany,0,6.833333333,0,22.83870968,5.652542373,0,0,0,0,10.72881356,0,12.03846154,10.01298701,30.96428571,9.828571429,0,9.417112299
Albuquerque,0,10.68421053,1.161290323,5.633333333,3.398305085,3.1,33.24561404,50.05263158,0,0,0,0,10.66935484,4.223880597,15.97007224,7.816513761,4.846153846
Alexandria,0,0,0,0,0,15.06451613,0,0,0,13.13793103,0,0,8.672268908,0,0,0,0
Allentown/Bethlehem/Easton,28.94642857,0,0,0,0,20,0,15.86585366,0,0,0,7.681318681,9.155172414,0,0,0,0
Alpena,0,0,0,0,0,0,0,0,0,0,0,0,16.60784314,0,0,0,0
Amarillo,0,0,0,0,0,10.47916667,0,0,0,3.592592593,0,0,0,0,14.97222222,8.31122449,0
Anchorage,0,0,2.611459969,22.78571429,3.06,0,0,0,0,0,0,0,0,31.48387097,0,0,0
Appleton,13.40625,0,0,0,0.064516129,1.581818182,0,7,0,12.22727273,0,0,17.80590717,0,0,0,0
Arcata/Eureka,0,0,0,0,0,0,0,0,0,0,0,0,25.59782609,0,0,0,0
Asheville,3.674157303,0,0,0,7.464285714,53.28571429,0,23.73394495,0,0,0,7.90960452,16.45945946,81.96153846,0,0,0
Ashland,0,0,0,0,0,0,0,23.62222222,0,11.57142857,0,0,0,0,0,0,0
Aspen,0,0,0,0,0,0,0,0,0,0,0,0,10.47131148,0,0,0,0
Atlanta,7.248459959,14.01616162,4.35483871,25.70608108,10.04040026,17.10169492,19.55172414,0,0,26.56,13.46676514,17.56862745,9.824508321,24.05707763,18.49734117,7.532967033,12.75690608
Atlantic City,0,0,0,0,0,0,0,0,0,0,16.57034221,0,0,0,0,0,0
Augusta,5.647058824,0,0,0,8.157894737,10.70149254,0,0,0,0,0,20.2967033,14.43243243,0,0,0,0
Austin,20.34090909,12.02212389,8.41958042,12.59139785,6.263719512,0,28.27334852,30.72815534,0,10,0,13.75,9.118644068,17.02777778,13.41817269,8.241666667,7.302083333
Bakersfield,0,0,0,0,0,0,0,0,0,0,0,0,10.15909091,0,0,4.064516129,0
Baltimore,13.72941176,15.57112527,24.29166667,25.51260504,13.18027735,23.86486486,0,17.97297297,0,38.04511278,14.9626556,13,49.47272727,25.6292517,15.94253242,0,40.625
Bangor,19.62043796,0,0,0,0,0,0,18.55,0,9.75,0,0,0,0,0,0,9.475177305
Barrow,0,0,4.774193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baton Rouge,0,0,0,0,18.1875,23.91578947,0,0,0,0,0,0,8.058139535,0,0,10.90243902,2.558139535
Beaumont/Port Arthur,0,0,0,0,0,0,0,0,0,6.327868852,0,0,0,0,0,0,0
Belleville,0,0,0,0,0,0,0,17.87,0,0,0,0,0,0,0,0,0
Bellingham,0,0,0.421052632,0,0,0,0,5.330935252,0,0,0,0,1.758064516,0,0,0,0
Bemidji,0,0,0,0,0,0,0,0,0,0,0,0,6.098360656,0,0,0,0
Bend/Redmond,0,0,0,0,0,0,0,0,0,0,0,0,13.90491803,0,0,0,0
Bethel,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billings,0,0,0,0,7.422764228,0,0,26.26315789,0,8.129032258,0,0,11.45,0.564516129,0,0,0
Binghamton,0,0,0,0,0,0,0,0,0,0,0,0,15.72727273,0,0,0,0
Birmingham,13.85714286,0,0,0,8.266903915,8.623376623,20.67741935,0,0,13.45,0,16.36678201,64.475,0,12.81661891,18.85,11.74074074
