0,1,2,3
Diseases of heart,Male,1950,0.0
Diseases of heart,Male,1960,0.0
Diseases of heart,Male,1970,0.0
Diseases of heart,Male,1980,0.0
Diseases of heart,Male,1981,0.0
Diseases of heart,Male,1982,0.0
Diseases of heart,Male,1983,0.0
Diseases of heart,Male,1984,0.0
Diseases of heart,Male,1985,0.0
Diseases of heart,Male,1986,0.0
Diseases of heart,Male,1987,0.0
Diseases of heart,Male,1988,0.0
Diseases of heart,Male,1989,0.0
Diseases of heart,Male,1990,0.0
Diseases of heart,Male,1991,0.0
Diseases of heart,Male,1992,0.0
Diseases of heart,Male,1993,0.0
Diseases of heart,Male,1994,0.0
Diseases of heart,Male,1995,0.0
Diseases of heart,Male,1996,0.0
Diseases of heart,Male,1997,0.0
Diseases of heart,Male,1998,0.0
Diseases of heart,Male,1999,331.0
Diseases of heart,Male,2000,320.0
Diseases of heart,Male,2001,307.8
Diseases of heart,Male,2002,303.4
Diseases of heart,Male,2003,292.3
Diseases of heart,Male,2004,274.1
Diseases of heart,Male,2005,268.2
Diseases of heart,Male,2006,254.9
Diseases of heart,Male,2007,243.7
Diseases of heart,Male,2008,238.5
Diseases of heart,Male,2009,229.4
Diseases of heart,Male,2010,225.1
Diseases of heart,Male,2011,218.1
Diseases of heart,Male,2012,214.7
Diseases of heart,Male,2013,214.5
Diseases of heart,Male,2014,210.9
Diseases of heart,Male,2015,211.8
Diseases of heart,Male,2016,209.1
Ischemic heart disease,Male,1950,0.0
Ischemic heart disease,Male,1960,0.0
Ischemic heart disease,Male,1970,0.0
Ischemic heart disease,Male,1980,0.0
Ischemic heart disease,Male,1981,0.0
Ischemic heart disease,Male,1982,0.0
Ischemic heart disease,Male,1983,0.0
Ischemic heart disease,Male,1984,0.0
Ischemic heart disease,Male,1985,0.0
Ischemic heart disease,Male,1986,0.0
Ischemic heart disease,Male,1987,0.0
Ischemic heart disease,Male,1988,0.0
Ischemic heart disease,Male,1989,0.0
Ischemic heart disease,Male,1990,0.0
Ischemic heart disease,Male,1991,0.0
Ischemic heart disease,Male,1992,0.0
Ischemic heart disease,Male,1993,0.0
Ischemic heart disease,Male,1994,0.0
Ischemic heart disease,Male,1995,0.0
Ischemic heart disease,Male,1996,0.0
Ischemic heart disease,Male,1997,0.0
Ischemic heart disease,Male,1998,0.0
Ischemic heart disease,Male,1999,251.2
Ischemic heart disease,Male,2000,241.4
Ischemic heart disease,Male,2001,230.2
Ischemic heart disease,Male,2002,224.7
Ischemic heart disease,Male,2003,213.9
Ischemic heart disease,Male,2004,198.4
Ischemic heart disease,Male,2005,192.3
Ischemic heart disease,Male,2006,180.7
Ischemic heart disease,Male,2007,169.2
Ischemic heart disease,Male,2008,165.1
Ischemic heart disease,Male,2009,156.2
Ischemic heart disease,Male,2010,151.3
Ischemic heart disease,Male,2011,145.6
Ischemic heart disease,Male,2012,141.1
Ischemic heart disease,Male,2013,138.2
Ischemic heart disease,Male,2014,133.5
Ischemic heart disease,Male,2015,131.2
Ischemic heart disease,Male,2016,128.3
Cerebrovascular diseases,Male,1950,0.0
Cerebrovascular diseases,Male,1960,0.0
Cerebrovascular diseases,Male,1970,0.0
Cerebrovascular diseases,Male,1980,0.0
Cerebrovascular diseases,Male,1981,0.0
Cerebrovascular diseases,Male,1982,0.0
Cerebrovascular diseases,Male,1983,0.0
Cerebrovascular diseases,Male,1984,0.0
Cerebrovascular diseases,Male,1985,0.0
Cerebrovascular diseases,Male,1986,0.0
Cerebrovascular diseases,Male,1987,0.0
Cerebrovascular diseases,Male,1988,0.0
Cerebrovascular diseases,Male,1989,0.0
Cerebrovascular diseases,Male,1990,0.0
Cerebrovascular diseases,Male,1991,0.0
Cerebrovascular diseases,Male,1992,0.0
Cerebrovascular diseases,Male,1993,0.0
Cerebrovascular diseases,Male,1994,0.0
Cerebrovascular diseases,Male,1995,0.0
Cerebrovascular diseases,Male,1996,0.0
Cerebrovascular diseases,Male,1997,0.0
Cerebrovascular diseases,Male,1998,0.0
Cerebrovascular diseases,Male,1999,63.2
Cerebrovascular diseases,Male,2000,62.4
Cerebrovascular diseases,Male,2001,59.5
Cerebrovascular diseases,Male,2002,57.9
Cerebrovascular diseases,Male,2003,55.4
Cerebrovascular diseases,Male,2004,51.7
Cerebrovascular diseases,Male,2005,48.4
Cerebrovascular diseases,Male,2006,45.2
Cerebrovascular diseases,Male,2007,43.7
Cerebrovascular diseases,Male,2008,42.2
Cerebrovascular diseases,Male,2009,39.9
Cerebrovascular diseases,Male,2010,39.3
Cerebrovascular diseases,Male,2011,37.9
Cerebrovascular diseases,Male,2012,37.1
Cerebrovascular diseases,Male,2013,36.7
Cerebrovascular diseases,Male,2014,36.9
Cerebrovascular diseases,Male,2015,37.8
Cerebrovascular diseases,Male,2016,37.5
Malignant neoplasms,Male,1950,0.0
Malignant neoplasms,Male,1960,0.0
Malignant neoplasms,Male,1970,0.0
Malignant neoplasms,Male,1980,0.0
Malignant neoplasms,Male,1981,0.0
Malignant neoplasms,Male,1982,0.0
Malignant neoplasms,Male,1983,0.0
Malignant neoplasms,Male,1984,0.0
Malignant neoplasms,Male,1985,0.0
Malignant neoplasms,Male,1986,0.0
Malignant neoplasms,Male,1987,0.0
Malignant neoplasms,Male,1988,0.0
Malignant neoplasms,Male,1989,0.0
Malignant neoplasms,Male,1990,0.0
Malignant neoplasms,Male,1991,0.0
Malignant neoplasms,Male,1992,0.0
Malignant neoplasms,Male,1993,0.0
Malignant neoplasms,Male,1994,0.0
Malignant neoplasms,Male,1995,0.0
Malignant neoplasms,Male,1996,0.0
Malignant neoplasms,Male,1997,0.0
Malignant neoplasms,Male,1998,0.0
Malignant neoplasms,Male,1999,251.9
Malignant neoplasms,Male,2000,248.9
Malignant neoplasms,Male,2001,244.5
Malignant neoplasms,Male,2002,240.9
Malignant neoplasms,Male,2003,235.1
Malignant neoplasms,Male,2004,229.5
Malignant neoplasms,Male,2005,227.2
Malignant neoplasms,Male,2006,221.7
Malignant neoplasms,Male,2007,218.8
Malignant neoplasms,Male,2008,214.9
Malignant neoplasms,Male,2009,210.9
Malignant neoplasms,Male,2010,209.9
Malignant neoplasms,Male,2011,204.0
Malignant neoplasms,Male,2012,200.3
Malignant neoplasms,Male,2013,196.0
Malignant neoplasms,Male,2014,192.9
Malignant neoplasms,Male,2015,189.2
Malignant neoplasms,Male,2016,185.4
"Trachea, bronchus, and lung",Male,1950,0.0
"Trachea, bronchus, and lung",Male,1960,0.0
"Trachea, bronchus, and lung",Male,1970,0.0
"Trachea, bronchus, and lung",Male,1980,0.0
"Trachea, bronchus, and lung",Male,1981,0.0
"Trachea, bronchus, and lung",Male,1982,0.0
"Trachea, bronchus, and lung",Male,1983,0.0
"Trachea, bronchus, and lung",Male,1984,0.0
"Trachea, bronchus, and lung",Male,1985,0.0
"Trachea, bronchus, and lung",Male,1986,0.0
"Trachea, bronchus, and lung",Male,1987,0.0
"Trachea, bronchus, and lung",Male,1988,0.0
"Trachea, bronchus, and lung",Male,1989,0.0
"Trachea, bronchus, and lung",Male,1990,0.0
"Trachea, bronchus, and lung",Male,1991,0.0
"Trachea, bronchus, and lung",Male,1992,0.0
"Trachea, bronchus, and lung",Male,1993,0.0
"Trachea, bronchus, and lung",Male,1994,0.0
"Trachea, bronchus, and lung",Male,1995,0.0
"Trachea, bronchus, and lung",Male,1996,0.0
"Trachea, bronchus, and lung",Male,1997,0.0
"Trachea, bronchus, and lung",Male,1998,0.0
"Trachea, bronchus, and lung",Male,1999,76.9
"Trachea, bronchus, and lung",Male,2000,76.7
"Trachea, bronchus, and lung",Male,2001,75.3
"Trachea, bronchus, and lung",Male,2002,73.5
"Trachea, bronchus, and lung",Male,2003,71.8
"Trachea, bronchus, and lung",Male,2004,70.2
"Trachea, bronchus, and lung",Male,2005,69.1
"Trachea, bronchus, and lung",Male,2006,67.0
"Trachea, bronchus, and lung",Male,2007,64.9
"Trachea, bronchus, and lung",Male,2008,63.5
"Trachea, bronchus, and lung",Male,2009,61.4
"Trachea, bronchus, and lung",Male,2010,60.3
"Trachea, bronchus, and lung",Male,2011,57.7
"Trachea, bronchus, and lung",Male,2012,56.1
"Trachea, bronchus, and lung",Male,2013,53.7
"Trachea, bronchus, and lung",Male,2014,51.7
"Trachea, bronchus, and lung",Male,2015,49.5
"Trachea, bronchus, and lung",Male,2016,46.7
"Colon, rectum, and anus",Male,1950,0.0
"Colon, rectum, and anus",Male,1960,0.0
"Colon, rectum, and anus",Male,1970,0.0
"Colon, rectum, and anus",Male,1980,0.0
"Colon, rectum, and anus",Male,1981,0.0
"Colon, rectum, and anus",Male,1982,0.0
"Colon, rectum, and anus",Male,1983,0.0
"Colon, rectum, and anus",Male,1984,0.0
"Colon, rectum, and anus",Male,1985,0.0
"Colon, rectum, and anus",Male,1986,0.0
"Colon, rectum, and anus",Male,1987,0.0
"Colon, rectum, and anus",Male,1988,0.0
"Colon, rectum, and anus",Male,1989,0.0
"Colon, rectum, and anus",Male,1990,0.0
"Colon, rectum, and anus",Male,1991,0.0
"Colon, rectum, and anus",Male,1992,0.0
"Colon, rectum, and anus",Male,1993,0.0
"Colon, rectum, and anus",Male,1994,0.0
"Colon, rectum, and anus",Male,1995,0.0
"Colon, rectum, and anus",Male,1996,0.0
"Colon, rectum, and anus",Male,1997,0.0
"Colon, rectum, and anus",Male,1998,0.0
"Colon, rectum, and anus",Male,1999,25.3
"Colon, rectum, and anus",Male,2000,25.1
"Colon, rectum, and anus",Male,2001,24.3
"Colon, rectum, and anus",Male,2002,23.9
"Colon, rectum, and anus",Male,2003,23.1
"Colon, rectum, and anus",Male,2004,21.8
"Colon, rectum, and anus",Male,2005,21.2
"Colon, rectum, and anus",Male,2006,20.7
"Colon, rectum, and anus",Male,2007,20.3
"Colon, rectum, and anus",Male,2008,19.7
"Colon, rectum, and anus",Male,2009,19.1
"Colon, rectum, and anus",Male,2010,19.0
"Colon, rectum, and anus",Male,2011,18.1
"Colon, rectum, and anus",Male,2012,17.7
"Colon, rectum, and anus",Male,2013,17.4
"Colon, rectum, and anus",Male,2014,16.9
"Colon, rectum, and anus",Male,2015,16.8
"Colon, rectum, and anus",Male,2016,16.4
Prostate,Male,1950,0.0
Prostate,Male,1960,0.0
Prostate,Male,1970,0.0
Prostate,Male,1980,0.0
Prostate,Male,1981,0.0
Prostate,Male,1982,0.0
Prostate,Male,1983,0.0
Prostate,Male,1984,0.0
Prostate,Male,1985,0.0
Prostate,Male,1986,0.0
Prostate,Male,1987,0.0
Prostate,Male,1988,0.0
Prostate,Male,1989,0.0
Prostate,Male,1990,0.0
Prostate,Male,1991,0.0
Prostate,Male,1992,0.0
Prostate,Male,1993,0.0
Prostate,Male,1994,0.0
Prostate,Male,1995,0.0
Prostate,Male,1996,0.0
Prostate,Male,1997,0.0
Prostate,Male,1998,0.0
Prostate,Male,1999,31.3
Prostate,Male,2000,30.4
Prostate,Male,2001,29.4
Prostate,Male,2002,28.6
Prostate,Male,2003,27.1
Prostate,Male,2004,26.1
Prostate,Male,2005,25.3
Prostate,Male,2006,24.2
Prostate,Male,2007,24.2
Prostate,Male,2008,23.0
Prostate,Male,2009,22.1
Prostate,Male,2010,21.9
Prostate,Male,2011,20.7
Prostate,Male,2012,19.5
Prostate,Male,2013,19.2
Prostate,Male,2014,19.0
Prostate,Male,2015,18.8
Prostate,Male,2016,19.3
Chronic lower respiratory diseases ,Male,1950,0.0
Chronic lower respiratory diseases ,Male,1960,0.0
Chronic lower respiratory diseases ,Male,1970,0.0
Chronic lower respiratory diseases ,Male,1980,0.0
Chronic lower respiratory diseases ,Male,1981,0.0
Chronic lower respiratory diseases ,Male,1982,0.0
Chronic lower respiratory diseases ,Male,1983,0.0
Chronic lower respiratory diseases ,Male,1984,0.0
Chronic lower respiratory diseases ,Male,1985,0.0
Chronic lower respiratory diseases ,Male,1986,0.0
Chronic lower respiratory diseases ,Male,1987,0.0
Chronic lower respiratory diseases ,Male,1988,0.0
Chronic lower respiratory diseases ,Male,1989,0.0
Chronic lower respiratory diseases ,Male,1990,0.0
Chronic lower respiratory diseases ,Male,1991,0.0
Chronic lower respiratory diseases ,Male,1992,0.0
Chronic lower respiratory diseases ,Male,1993,0.0
Chronic lower respiratory diseases ,Male,1994,0.0
Chronic lower respiratory diseases ,Male,1995,0.0
Chronic lower respiratory diseases ,Male,1996,0.0
Chronic lower respiratory diseases ,Male,1997,0.0
Chronic lower respiratory diseases ,Male,1998,0.0
Chronic lower respiratory diseases ,Male,1999,58.7
Chronic lower respiratory diseases ,Male,2000,55.8
Chronic lower respiratory diseases ,Male,2001,54.3
Chronic lower respiratory diseases ,Male,2002,54.3
Chronic lower respiratory diseases ,Male,2003,53.1
Chronic lower respiratory diseases ,Male,2004,50.3
Chronic lower respiratory diseases ,Male,2005,52.2
Chronic lower respiratory diseases ,Male,2006,48.4
Chronic lower respiratory diseases ,Male,2007,48.8
Chronic lower respiratory diseases ,Male,2008,52.3
Chronic lower respiratory diseases ,Male,2009,49.5
Chronic lower respiratory diseases ,Male,2010,48.7
Chronic lower respiratory diseases ,Male,2011,48.6
Chronic lower respiratory diseases ,Male,2012,47.2
Chronic lower respiratory diseases ,Male,2013,47.5
Chronic lower respiratory diseases ,Male,2014,45.4
Chronic lower respiratory diseases ,Male,2015,46.0
Chronic lower respiratory diseases ,Male,2016,45.1
Influenza and pneumonia ,Male,1950,0.0
Influenza and pneumonia ,Male,1960,0.0
Influenza and pneumonia ,Male,1970,0.0
Influenza and pneumonia ,Male,1980,0.0
Influenza and pneumonia ,Male,1981,0.0
Influenza and pneumonia ,Male,1982,0.0
Influenza and pneumonia ,Male,1983,0.0
Influenza and pneumonia ,Male,1984,0.0
Influenza and pneumonia ,Male,1985,0.0
Influenza and pneumonia ,Male,1986,0.0
Influenza and pneumonia ,Male,1987,0.0
Influenza and pneumonia ,Male,1988,0.0
Influenza and pneumonia ,Male,1989,0.0
Influenza and pneumonia ,Male,1990,0.0
Influenza and pneumonia ,Male,1991,0.0
Influenza and pneumonia ,Male,1992,0.0
Influenza and pneumonia ,Male,1993,0.0
Influenza and pneumonia ,Male,1994,0.0
Influenza and pneumonia ,Male,1995,0.0
Influenza and pneumonia ,Male,1996,0.0
Influenza and pneumonia ,Male,1997,0.0
Influenza and pneumonia ,Male,1998,0.0
Influenza and pneumonia ,Male,1999,28.5
Influenza and pneumonia ,Male,2000,28.9
Influenza and pneumonia ,Male,2001,26.9
Influenza and pneumonia ,Male,2002,27.9
Influenza and pneumonia ,Male,2003,27.0
Influenza and pneumonia ,Male,2004,24.6
Influenza and pneumonia ,Male,2005,24.9
Influenza and pneumonia ,Male,2006,22.1
Influenza and pneumonia ,Male,2007,20.2
Influenza and pneumonia ,Male,2008,20.7
Influenza and pneumonia ,Male,2009,19.6
Influenza and pneumonia ,Male,2010,18.2
Influenza and pneumonia ,Male,2011,18.8
Influenza and pneumonia ,Male,2012,17.3
Influenza and pneumonia ,Male,2013,18.6
Influenza and pneumonia ,Male,2014,17.8
Influenza and pneumonia ,Male,2015,17.7
Influenza and pneumonia ,Male,2016,15.9
Chronic liver disease and cirrhosis,Male,1950,0.0
Chronic liver disease and cirrhosis,Male,1960,0.0
Chronic liver disease and cirrhosis,Male,1970,0.0
Chronic liver disease and cirrhosis,Male,1980,0.0
Chronic liver disease and cirrhosis,Male,1981,0.0
Chronic liver disease and cirrhosis,Male,1982,0.0
Chronic liver disease and cirrhosis,Male,1983,0.0
Chronic liver disease and cirrhosis,Male,1984,0.0
Chronic liver disease and cirrhosis,Male,1985,0.0
Chronic liver disease and cirrhosis,Male,1986,0.0
Chronic liver disease and cirrhosis,Male,1987,0.0
Chronic liver disease and cirrhosis,Male,1988,0.0
Chronic liver disease and cirrhosis,Male,1989,0.0
Chronic liver disease and cirrhosis,Male,1990,0.0
Chronic liver disease and cirrhosis,Male,1991,0.0
Chronic liver disease and cirrhosis,Male,1992,0.0
Chronic liver disease and cirrhosis,Male,1993,0.0
Chronic liver disease and cirrhosis,Male,1994,0.0
Chronic liver disease and cirrhosis,Male,1995,0.0
Chronic liver disease and cirrhosis,Male,1996,0.0
Chronic liver disease and cirrhosis,Male,1997,0.0
Chronic liver disease and cirrhosis,Male,1998,0.0
Chronic liver disease and cirrhosis,Male,1999,13.5
Chronic liver disease and cirrhosis,Male,2000,13.4
Chronic liver disease and cirrhosis,Male,2001,13.2
Chronic liver disease and cirrhosis,Male,2002,12.9
Chronic liver disease and cirrhosis,Male,2003,13.0
Chronic liver disease and cirrhosis,Male,2004,12.4
Chronic liver disease and cirrhosis,Male,2005,12.4
Chronic liver disease and cirrhosis,Male,2006,12.1
Chronic liver disease and cirrhosis,Male,2007,12.7
Chronic liver disease and cirrhosis,Male,2008,12.7
Chronic liver disease and cirrhosis,Male,2009,12.5
Chronic liver disease and cirrhosis,Male,2010,12.9
Chronic liver disease and cirrhosis,Male,2011,13.1
Chronic liver disease and cirrhosis,Male,2012,13.4
Chronic liver disease and cirrhosis,Male,2013,13.8
Chronic liver disease and cirrhosis,Male,2014,14.1
Chronic liver disease and cirrhosis,Male,2015,14.5
Chronic liver disease and cirrhosis,Male,2016,14.3
Diabetes mellitus ,Male,1950,0.0
Diabetes mellitus ,Male,1960,0.0
Diabetes mellitus ,Male,1970,0.0
Diabetes mellitus ,Male,1980,0.0
Diabetes mellitus ,Male,1981,0.0
Diabetes mellitus ,Male,1982,0.0
Diabetes mellitus ,Male,1983,0.0
Diabetes mellitus ,Male,1984,0.0
Diabetes mellitus ,Male,1985,0.0
Diabetes mellitus ,Male,1986,0.0
Diabetes mellitus ,Male,1987,0.0
Diabetes mellitus ,Male,1988,0.0
Diabetes mellitus ,Male,1989,0.0
Diabetes mellitus ,Male,1990,0.0
Diabetes mellitus ,Male,1991,0.0
Diabetes mellitus ,Male,1992,0.0
Diabetes mellitus ,Male,1993,0.0
Diabetes mellitus ,Male,1994,0.0
Diabetes mellitus ,Male,1995,0.0
Diabetes mellitus ,Male,1996,0.0
Diabetes mellitus ,Male,1997,0.0
Diabetes mellitus ,Male,1998,0.0
Diabetes mellitus ,Male,1999,27.8
Diabetes mellitus ,Male,2000,27.8
Diabetes mellitus ,Male,2001,28.2
Diabetes mellitus ,Male,2002,28.9
Diabetes mellitus ,Male,2003,29.2
Diabetes mellitus ,Male,2004,28.5
Diabetes mellitus ,Male,2005,28.8
Diabetes mellitus ,Male,2006,27.7
Diabetes mellitus ,Male,2007,26.6
Diabetes mellitus ,Male,2008,25.9
Diabetes mellitus ,Male,2009,25.0
Diabetes mellitus ,Male,2010,24.9
Diabetes mellitus ,Male,2011,26.0
Diabetes mellitus ,Male,2012,25.5
Diabetes mellitus ,Male,2013,25.6
Diabetes mellitus ,Male,2014,25.6
Diabetes mellitus ,Male,2015,26.2
Diabetes mellitus ,Male,2016,26.0
Alzheimer's disease ,Male,1950,0.0
